Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 35/517 ...errors:1265413.000000, BEP:0.505698, transmissions:0 - took 2.126168 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:7.500000, 47/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.132219 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:3.500000, 39/517 ...errors:1201583.000000, BEP:0.530632, transmissions:0 - took 2.129452 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:5.500000, 43/517 ...errors:53861.000000, BEP:0.978961, transmissions:0 - took 2.159912 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:14.500000, 30/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.683848 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:10.500000, 22/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.715356 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:12.500000, 26/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.711481 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:8.500000, 18/517 ...errors:12.000000, BEP:0.999995, transmissions:0 - took 2.705904 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 34/517 ...errors:1268048.000000, BEP:0.504669, transmissions:0 - took 2.139250 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:7.000000, 46/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.125728 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 38/517 ...errors:1236926.000000, BEP:0.516826, transmissions:0 - took 2.139458 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:5.000000, 42/517 ...errors:315210.000000, BEP:0.876871, transmissions:0 - took 2.155738 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:14.000000, 29/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.698607 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:12.000000, 25/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.663029 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:10.000000, 21/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.713950 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:8.000000, 17/517 ...errors:236.000000, BEP:0.999908, transmissions:0 - took 2.724677 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:2.500000, 223/517 ...errors:2534898.000000, BEP:0.504903, transmissions:0 - took 4.247262 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:11.500000, 117/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.650222 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:9.500000, 82/517 ...errors:58328.000000, BEP:0.977216, transmissions:0 - took 2.961998 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:1.500000, 283/517 ...errors:2558527.000000, BEP:0.500288, transmissions:0 - took 5.264204 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:2.000000, 253/517 ...errors:2555667.000000, BEP:0.500846, transmissions:0 - took 5.942963 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:14.500000, 154/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.904119 mins
